month,cusum_statistic,crossed_h
2000-02,1.0034105479248288,False
2000-03,2.1602139824211615,True
2000-04,3.1636245303459902,True
2000-05,3.078046960839457,True
2000-06,2.5644376941657203,True
2000-07,2.276485927097164,True
2000-08,2.5305940743110966,True
2000-09,3.1743447780137823,True
2000-10,2.8042628607213893,True
2000-11,1.6334115124962696,False
2000-12,1.1583766943031715,False
2001-01,0.8775118448688033,False
2001-02,0.30600312037525534,False
2001-03,0.6811135135781896,False
2001-04,0.3298537828002186,False
2001-05,0.37334289950523747,False
2001-06,3.3038195343081833,True
2001-07,3.407192200402826,True
2001-08,2.957277030336959,True
2001-09,3.7947198252919647,True
2001-10,4.913545963771655,True
2001-11,4.918468099902846,True
2001-12,5.249271039188828,True
