month,cusum_statistic,crossed_h
2000-02,1.007970888069034,False
2000-03,2.181802601099186,True
2000-04,3.18977348916822,True
2000-05,3.10764409628757,True
2000-06,2.592975817244411,True
2000-07,2.309869748064893,True
2000-08,2.562092077135914,True
2000-09,3.213500593939536,True
2000-10,2.8454522593242837,True
2000-11,1.6924762161452502,False
2000-12,1.1800981975338611,False
2001-01,0.9047548469411152,False
2001-02,0.3325163690144904,False
2001-03,0.7158333402122704,False
2001-04,0.3375887819379962,False
2001-05,0.5661563868574211,False
2001-06,3.503953174542925,True
2001-07,3.633521199394626,True
2001-08,3.187183470574097,True
2001-09,4.039457045532201,True
2001-10,5.166589759165183,True
2001-11,5.042461810953922,True
2001-12,4.914214839008733,True
