z_centrality,z_sentiment,composite_index
0.0,0.2857142857142857,0.5
0.0,0.18181818181818182,0.0
0.0,0.3333333333333333,0.125
0.2,0.3333333333333333,1.0
0.42857142857142855,0.5,0.6
0.1,0.4444444444444444,0.25
0.21428571428571427,0.5714285714285714,0.2
0.0,0.3333333333333333,0.25
0.1111111111111111,0.2,0.0
0.18181818181818182,0.6,0.0
0.1111111111111111,0.3333333333333333,0.5
0.1111111111111111,0.25,0.25
0.09090909090909091,0.3076923076923077,0.5
0.1,0.625,0.0
0.25,0.18181818181818182,0.0
0.2857142857142857,0.2,0.1111111111111111
0.25,0.4,0.25
0.5,0.4,0.3333333333333333
0.1,0.5555555555555556,0.3333333333333333
0.09090909090909091,0.3,0.25
0.125,0.2727272727272727,0.0
0.18181818181818182,0.4166666666666667,0.5714285714285714
0.1,0.3,0.14285714285714285
0.2,0.45454545454545453,0.2857142857142857
0.18181818181818182,0.25,0.4
0.125,0.21428571428571427,0.2222222222222222
0.625,0.75,0.6666666666666666
0.25,0.2,0.5
0.4,0.6153846153846154,0.25
0.2727272727272727,0.36363636363636365,0.42857142857142855
0.16666666666666666,0.3333333333333333,0.6666666666666666
0.23076923076923078,0.4,0.36363636363636365
0.4,0.4375,0.6666666666666666
0.16666666666666666,0.375,0.5
0.2857142857142857,0.4666666666666667,0.5714285714285714
0.4166666666666667,0.3,0.5
0.4166666666666667,0.2,0.14285714285714285
0.25,0.5,0.6
0.0,0.1,0.14285714285714285
0.25,0.4166666666666667,0.3333333333333333
0.14285714285714285,0.2727272727272727,0.16666666666666666
0.2857142857142857,0.42857142857142855,0.3333333333333333
0.42857142857142855,0.42857142857142855,0.5
0.0,0.5,0.6666666666666666
0.2222222222222222,0.3,0.6
0.2222222222222222,0.5833333333333334,0.6666666666666666
0.25,0.36363636363636365,0.25
0.46153846153846156,0.5,0.625
0.125,0.09090909090909091,0.1111111111111111
0.1111111111111111,0.4444444444444444,0.5
0.2,0.4444444444444444,0.5
0.1111111111111111,0.375,0.25
0.25,0.2,0.125
0.2,0.5833333333333334,0.25
0.2222222222222222,0.2727272727272727,0.25
0.2222222222222222,0.16666666666666666,0.25
0.3333333333333333,0.5555555555555556,0.4
0.08333333333333333,0.3333333333333333,0.2
0.09090909090909091,0.5,0.2727272727272727
0.1111111111111111,0.2857142857142857,0.3333333333333333
0.3333333333333333,0.5,0.6
0.09090909090909091,0.5,0.2857142857142857
0.3333333333333333,0.5833333333333334,0.45454545454545453
0.2222222222222222,0.4166666666666667,0.2
0.125,0.4666666666666667,0.5
0.2857142857142857,0.2222222222222222,0.5
0.375,0.5,0.5
0.2727272727272727,0.4166666666666667,0.4444444444444444
0.5,0.4666666666666667,0.8333333333333334
0.0,0.3125,0.3333333333333333
0.09090909090909091,0.2,0.2
0.0,0.1,0.25
0.25,0.25,0.375
0.36363636363636365,0.6,0.42857142857142855
0.16666666666666666,0.4,0.4
0.45454545454545453,0.3125,0.5714285714285714
0.3333333333333333,0.4,0.5714285714285714
0.3333333333333333,0.23076923076923078,0.3333333333333333
0.125,0.3333333333333333,0.2
0.4,0.4166666666666667,0.6
0.0,0.16666666666666666,0.0
0.42857142857142855,0.5714285714285714,0.4444444444444444
0.125,0.25,0.16666666666666666
0.07142857142857142,0.3333333333333333,0.3333333333333333
0.4,0.3076923076923077,0.4
0.2,0.3333333333333333,0.0
0.2,0.1875,0.16666666666666666
0.0,0.2727272727272727,0.0
0.08333333333333333,0.3,0.3333333333333333
0.3333333333333333,0.4375,0.375
0.125,0.16666666666666666,0.2857142857142857
0.0,0.3333333333333333,0.14285714285714285
0.2222222222222222,0.42857142857142855,0.0
0.46153846153846156,0.35714285714285715,0.4
0.1111111111111111,0.21428571428571427,0.6
0.3333333333333333,0.16666666666666666,0.3333333333333333
0.2222222222222222,0.1111111111111111,0.0
0.5,0.45454545454545453,0.5
0.38461538461538464,0.6,0.36363636363636365
0.4,0.5,0.6666666666666666
0.2857142857142857,0.3,0.16666666666666666
0.1111111111111111,0.2222222222222222,0.0
0.2,0.4166666666666667,0.16666666666666666
0.09090909090909091,0.42857142857142855,0.4
0.16666666666666666,0.3333333333333333,0.2
0.2857142857142857,0.4,0.3333333333333333
0.14285714285714285,0.5,0.4
0.2,0.5555555555555556,0.42857142857142855
0.125,0.23076923076923078,0.25
0.2,0.125,0.0
0.0,0.3076923076923077,0.25
0.25,0.375,0.25
0.16666666666666666,0.1,0.0
0.4166666666666667,0.42857142857142855,1.0
0.0,0.21428571428571427,0.25
0.0,0.45454545454545453,0.14285714285714285
